s_category,demo_cat
4 or 5 times,White
2 or 3 times,White
2 or 3 times,AI/AN
2 or 3 times,White
1 time,White
2 or 3 times,Black
1 time,Black
2 or 3 times,Black
2 or 3 times,Black
2 or 3 times,Black
4 or 5 times,Black
2 or 3 times,White
4 or 5 times,Black
2 or 3 times,White
4 or 5 times,Black
2 or 3 times,Black
1 time,Black
1 time,Black
4 or 5 times,Black
1 time,Black
4 or 5 times,Black
2 or 3 times,White
1 time,White
1 time,White
2 or 3 times,White
6 or more times,White
2 or 3 times,White
2 or 3 times,Black
2 or 3 times,Asian
1 time,White
2 or 3 times,Black
1 time,Black
2 or 3 times,Other
2 or 3 times,Black
6 or more times,Black
1 time,Black
1 time,White
1 time,Black
1 time,Other
1 time,Black
2 or 3 times,Black
2 or 3 times,Black
1 time,Black
4 or 5 times,Black
4 or 5 times,White
2 or 3 times,Black
1 time,White
1 time,White
2 or 3 times,White
2 or 3 times,White
1 time,NH/OPI
1 time,Black
2 or 3 times,Black
1 time,White
6 or more times,White
4 or 5 times,Asian
6 or more times,White
1 time,White
1 time,White
6 or more times,Other
1 time,Asian
1 time,White
4 or 5 times,White
2 or 3 times,White
1 time,White
1 time,White
2 or 3 times,White
2 or 3 times,White
1 time,White
1 time,White
1 time,White
1 time,White
1 time,Black
6 or more times,White
2 or 3 times,White
2 or 3 times,AI/AN
1 time,White
1 time,Asian
1 time,White
6 or more times,White
1 time,White
1 time,AI/AN
4 or 5 times,White
2 or 3 times,White
6 or more times,White
1 time,White
6 or more times,Black
4 or 5 times,Asian
2 or 3 times,White
2 or 3 times,Other
1 time,White
2 or 3 times,White
1 time,White
1 time,White
2 or 3 times,White
1 time,White
1 time,White
1 time,White
1 time,White
2 or 3 times,White
2 or 3 times,Black
6 or more times,White
2 or 3 times,Asian
1 time,White
4 or 5 times,White
2 or 3 times,White
1 time,White
2 or 3 times,Black
6 or more times,Other
2 or 3 times,Black
1 time,White
1 time,White
2 or 3 times,White
1 time,White
1 time,Asian
1 time,White
1 time,Black
2 or 3 times,White
1 time,White
1 time,Black
2 or 3 times,White
2 or 3 times,White
2 or 3 times,White
2 or 3 times,White
1 time,AI/AN
2 or 3 times,White
2 or 3 times,Asian
2 or 3 times,White
2 or 3 times,White
2 or 3 times,White
2 or 3 times,White
4 or 5 times,Black
2 or 3 times,NH/OPI
6 or more times,White
2 or 3 times,Black
1 time,Other
2 or 3 times,White
4 or 5 times,White
4 or 5 times,White
2 or 3 times,White
2 or 3 times,Black
1 time,White
4 or 5 times,NH/OPI
1 time,White
4 or 5 times,White
6 or more times,White
1 time,Black
6 or more times,White
6 or more times,Black
2 or 3 times,Black
1 time,AI/AN
2 or 3 times,White
6 or more times,Black
1 time,White
1 time,AI/AN
1 time,White
2 or 3 times,White
1 time,Black
1 time,White
1 time,AIAN/White
1 time,Black
6 or more times,Black
1 time,White
6 or more times,White
4 or 5 times,White
2 or 3 times,Black
2 or 3 times,Black
6 or more times,White
1 time,White
1 time,AI/AN
4 or 5 times,White
1 time,Other
6 or more times,Black/White
1 time,White
1 time,White
1 time,White
2 or 3 times,White
1 time,White
1 time,White
2 or 3 times,White
2 or 3 times,Black
4 or 5 times,Black
1 time,White
1 time,Black/White
1 time,White
1 time,White
1 time,White
2 or 3 times,White
1 time,White
6 or more times,White
2 or 3 times,White
1 time,White
6 or more times,Black/White
2 or 3 times,White
2 or 3 times,Asian
1 time,AIAN/White
6 or more times,White
1 time,White
1 time,White
1 time,White
1 time,Black
2 or 3 times,White
1 time,White
6 or more times,Other
1 time,White
1 time,White
2 or 3 times,White
1 time,White
1 time,White
1 time,White
2 or 3 times,White
2 or 3 times,White
2 or 3 times,AIAN/White
1 time,White
1 time,White
1 time,White
2 or 3 times,White
1 time,White
1 time,White
1 time,White
2 or 3 times,Black
2 or 3 times,Black
1 time,Black
2 or 3 times,Black
2 or 3 times,Black
1 time,Black
2 or 3 times,AIAN/White
2 or 3 times,White
1 time,White
1 time,Black
1 time,Black
1 time,Black
1 time,White
2 or 3 times,White
1 time,Black
1 time,Black
6 or more times,Black
6 or more times,Black
1 time,White
1 time,White
4 or 5 times,White
2 or 3 times,AI/AN
2 or 3 times,White
1 time,White
1 time,White
1 time,White
6 or more times,White
2 or 3 times,White
1 time,Asian
1 time,White
2 or 3 times,White
2 or 3 times,White
4 or 5 times,Black
1 time,AI/AN
1 time,White
1 time,White
1 time,White
1 time,White
1 time,White
1 time,White
4 or 5 times,Black/White
6 or more times,White
1 time,Black/White
1 time,White
1 time,White
1 time,White
6 or more times,Black
6 or more times,White
4 or 5 times,AIAN/White
1 time,Black
2 or 3 times,Asian
6 or more times,Black
2 or 3 times,White
1 time,White
1 time,White
2 or 3 times,AIAN/White
1 time,White
1 time,White
1 time,White
1 time,White
1 time,White
2 or 3 times,AI/AN
1 time,White
1 time,White
1 time,White
2 or 3 times,AI/AN
2 or 3 times,AI/AN
1 time,White
2 or 3 times,White
2 or 3 times,White
2 or 3 times,White
1 time,White
2 or 3 times,Black
1 time,White
4 or 5 times,White
1 time,White
1 time,Black/White
1 time,Black
1 time,White
1 time,Other
1 time,White
6 or more times,White
1 time,White
1 time,AIAN/White
6 or more times,White
2 or 3 times,Black
6 or more times,Asian
1 time,White
6 or more times,White
1 time,White
6 or more times,NH/OPI
2 or 3 times,White
2 or 3 times,White
2 or 3 times,White
1 time,White
1 time,Black
1 time,White
2 or 3 times,White
2 or 3 times,White
2 or 3 times,White
1 time,AIAN/White
1 time,White
1 time,White
1 time,White
2 or 3 times,AIAN/White
1 time,White
2 or 3 times,Asian
6 or more times,White
2 or 3 times,White
1 time,White
2 or 3 times,Black
2 or 3 times,White
1 time,White
1 time,Other
2 or 3 times,Black
1 time,White
2 or 3 times,White
2 or 3 times,White
1 time,White
1 time,Other
2 or 3 times,Black
2 or 3 times,White
2 or 3 times,White
6 or more times,White
1 time,Black/White
2 or 3 times,White
1 time,White
1 time,AIAN/White
2 or 3 times,AIAN/White
2 or 3 times,AI/AN
1 time,Black/White
1 time,White
1 time,White
4 or 5 times,White
1 time,White
1 time,White
6 or more times,White
2 or 3 times,White
2 or 3 times,White
2 or 3 times,White
2 or 3 times,White
1 time,Black
1 time,White
4 or 5 times,White
1 time,White
2 or 3 times,White
6 or more times,White
4 or 5 times,White
1 time,AIAN/White
4 or 5 times,Black
2 or 3 times,Black
1 time,Black
4 or 5 times,Black
2 or 3 times,White
2 or 3 times,White
2 or 3 times,Black
2 or 3 times,Black
2 or 3 times,Black
2 or 3 times,Black
6 or more times,Black
1 time,NH/OPI
1 time,Black/White
2 or 3 times,Black
4 or 5 times,White
1 time,Black
2 or 3 times,White
1 time,White
1 time,Black
2 or 3 times,White
2 or 3 times,White
1 time,Other
1 time,Black
6 or more times,White
1 time,Black
1 time,Black
1 time,White
1 time,White
1 time,Other
1 time,White
1 time,Other
1 time,Black
1 time,White
1 time,Black
1 time,Black
2 or 3 times,Other
4 or 5 times,Black
2 or 3 times,White
1 time,Black
6 or more times,Black
2 or 3 times,White
1 time,White
1 time,Other
2 or 3 times,AIAN/White
1 time,White
1 time,Black
1 time,Black
1 time,Other
1 time,Black
1 time,Black
2 or 3 times,White
1 time,White
2 or 3 times,White
2 or 3 times,Black
1 time,White
1 time,Other
1 time,White
2 or 3 times,Black
6 or more times,Black
1 time,White
2 or 3 times,White
1 time,White
1 time,White
1 time,White
1 time,White
2 or 3 times,White
2 or 3 times,White
1 time,White
2 or 3 times,NH/OPI
1 time,White
1 time,Black
1 time,White
6 or more times,Asian
6 or more times,Other
2 or 3 times,White
1 time,White
1 time,White
1 time,Black
1 time,NH/OPI
2 or 3 times,White
2 or 3 times,White
1 time,White
1 time,White
1 time,White
2 or 3 times,White
2 or 3 times,White
1 time,White
2 or 3 times,White
1 time,White
1 time,White
2 or 3 times,White
1 time,White
1 time,White
1 time,White
1 time,Asian
2 or 3 times,White
4 or 5 times,Black
4 or 5 times,White
2 or 3 times,White
1 time,White
1 time,White
1 time,White
1 time,White
1 time,AIAN/White
1 time,White
2 or 3 times,AI/AN
1 time,White
1 time,Black
1 time,White
2 or 3 times,White
2 or 3 times,Other
2 or 3 times,Asian
1 time,White
2 or 3 times,White
1 time,Black
2 or 3 times,Black
6 or more times,Black
2 or 3 times,White
6 or more times,White
2 or 3 times,White
2 or 3 times,White
6 or more times,White
6 or more times,White
2 or 3 times,White
2 or 3 times,White
1 time,White
2 or 3 times,White
4 or 5 times,White
1 time,White
2 or 3 times,Black
2 or 3 times,White
2 or 3 times,Black
1 time,Black
1 time,White
6 or more times,White
1 time,White
2 or 3 times,White
1 time,White
1 time,White
2 or 3 times,Other
2 or 3 times,NH/OPI
1 time,White
1 time,Other
6 or more times,White
1 time,White
6 or more times,Black
1 time,Black/White
1 time,Black/White
1 time,Black/White
4 or 5 times,White
2 or 3 times,White
1 time,Other
6 or more times,White
1 time,White
6 or more times,White
2 or 3 times,Black/White
6 or more times,White
2 or 3 times,White
1 time,White
4 or 5 times,White
1 time,White
1 time,White
1 time,White
1 time,White
2 or 3 times,AI/AN
1 time,White
2 or 3 times,White
1 time,White
1 time,White
4 or 5 times,White
2 or 3 times,White
1 time,White
1 time,White
2 or 3 times,White
1 time,White
1 time,White
1 time,White
6 or more times,NH/OPI
4 or 5 times,White
2 or 3 times,White
1 time,White
1 time,White
1 time,Black
2 or 3 times,White
2 or 3 times,White
2 or 3 times,Black
1 time,Other
2 or 3 times,White
4 or 5 times,White
2 or 3 times,White
6 or more times,White
2 or 3 times,Black
4 or 5 times,White
1 time,White
6 or more times,White
2 or 3 times,White
1 time,White
4 or 5 times,Black
1 time,Black
6 or more times,Black
2 or 3 times,White
1 time,White
1 time,White
4 or 5 times,Other
1 time,White
1 time,White
2 or 3 times,Black
1 time,AI/AN
6 or more times,Asian
2 or 3 times,Black
1 time,White
1 time,White
1 time,White
1 time,AIAN/White
1 time,White
6 or more times,Asian
1 time,Other
2 or 3 times,White
2 or 3 times,Black
1 time,White
1 time,White
1 time,White
1 time,Black
1 time,Other
4 or 5 times,White
1 time,Black
1 time,White
4 or 5 times,White
1 time,White
1 time,White
2 or 3 times,White
2 or 3 times,White
2 or 3 times,White
1 time,Black
1 time,White
1 time,Black/White
2 or 3 times,White
1 time,White
1 time,Other
1 time,Asian
1 time,White
2 or 3 times,Other
2 or 3 times,White
1 time,White
2 or 3 times,White
1 time,Other
1 time,White
1 time,White
2 or 3 times,White
1 time,White
2 or 3 times,AIAN/White
2 or 3 times,NH/OPI
2 or 3 times,Other
2 or 3 times,White
1 time,Black/White
1 time,Asian
1 time,Other
4 or 5 times,Black
2 or 3 times,Black
2 or 3 times,White
2 or 3 times,White
1 time,Black
1 time,White
2 or 3 times,AI/AN
2 or 3 times,Black
2 or 3 times,Black
1 time,White
1 time,White
2 or 3 times,White
1 time,Asian
1 time,Black
1 time,Black
4 or 5 times,Black
1 time,White
1 time,Black
1 time,Black
1 time,White
1 time,Black
6 or more times,Black
6 or more times,Black
1 time,Other
2 or 3 times,White
1 time,NH/OPI
1 time,White
2 or 3 times,White
2 or 3 times,White
2 or 3 times,Black
2 or 3 times,Black
2 or 3 times,White
1 time,AIAN/White
1 time,White
2 or 3 times,Black/White
1 time,Black
1 time,Black
1 time,White
1 time,Black
2 or 3 times,White
2 or 3 times,White
2 or 3 times,White
6 or more times,White
4 or 5 times,White
2 or 3 times,White
2 or 3 times,White
2 or 3 times,White
1 time,White
1 time,White
1 time,White
1 time,White
1 time,White
2 or 3 times,Other
2 or 3 times,Black
2 or 3 times,White
2 or 3 times,White
2 or 3 times,Black
1 time,Other
1 time,White
1 time,White
1 time,Other
1 time,White
1 time,White
2 or 3 times,White
1 time,White
1 time,White
2 or 3 times,White
1 time,White
2 or 3 times,White
1 time,Black
1 time,White
1 time,White
1 time,Asian
1 time,Black
2 or 3 times,White
2 or 3 times,Black
6 or more times,Black
1 time,White
1 time,White
1 time,White
1 time,White
1 time,Black
2 or 3 times,Black
1 time,Black
1 time,White
1 time,White
6 or more times,Other
2 or 3 times,White
1 time,White
1 time,White
1 time,AI/AN
1 time,White
1 time,Asian
1 time,White
1 time,White
6 or more times,White
2 or 3 times,White
1 time,White
1 time,Black
2 or 3 times,White
1 time,White
1 time,White
1 time,White
2 or 3 times,NH/OPI
2 or 3 times,White
1 time,Asian
1 time,White
1 time,White
1 time,AI/AN
2 or 3 times,AIAN/White
1 time,Black
1 time,NH/OPI
1 time,Black
1 time,Black
2 or 3 times,Black
1 time,Black
1 time,White
2 or 3 times,Asian
1 time,White
2 or 3 times,White
2 or 3 times,Black
2 or 3 times,Black
1 time,Black
1 time,White
2 or 3 times,White
1 time,Black
1 time,AI/AN
6 or more times,AIAN/White
2 or 3 times,White
1 time,Other
1 time,Black
1 time,White
1 time,Black
2 or 3 times,White
2 or 3 times,White
1 time,Black
2 or 3 times,Black
2 or 3 times,Other
1 time,White
1 time,Black
1 time,Black
1 time,Black
1 time,Black
1 time,Black
2 or 3 times,Black/White
1 time,Black
1 time,White
2 or 3 times,White
1 time,White
6 or more times,White
2 or 3 times,White
2 or 3 times,White
1 time,White
1 time,White
1 time,White
1 time,White
1 time,Other
2 or 3 times,Black
1 time,White
1 time,White
2 or 3 times,White
6 or more times,White
1 time,White
1 time,Asian
6 or more times,White
1 time,NH/OPI
1 time,Asian